Sector,ESG_Risk_Score
Energy,32.335
Basic Materials,26.71578947368421
Utilities,26.710714285714285
Consumer Defensive,25.445454545454545
Industrials,24.013333333333332
Financial Services,21.19047619047619
Healthcare,20.577358490566034
Communication Services,19.414285714285715
Consumer Cyclical,19.227450980392156
Technology,16.92459016393443
Real Estate,13.085714285714285
