run_name,model,task_type,accuracy,precision,recall,f1
baseline,logistic_regression,classification,0.6111111111111112,0.6780864197530863,0.6111111111111112,0.6362524796601876
baseline,random_forest,classification,0.6851851851851852,0.675497256515775,0.6851851851851852,0.6746686573419246
